MES;VAZAO
01/01/1964;66,38
01/02/1964;95,75
01/03/1964;147,1
01/04/1964;151,23
01/05/1964;103,13
01/06/1964;45,71
01/07/1964;36,87
01/08/1964;32,18
01/09/1964;27,51
01/10/1964;28,41
01/11/1964;29,27
01/12/1964;31,39
01/01/1965;34,1
01/02/1965;40,55
01/03/1965;61,11
01/04/1965;217,34
01/05/1965;135,58
01/06/1965;46,16
01/07/1965;38,93
01/08/1965;34,07
01/09/1965;30,46
01/10/1965;33,57
01/11/1965;30,05
01/12/1965;28,86
01/01/1966;33,46
01/02/1966;57,37
01/03/1966;61,63
01/04/1966;69,63
01/05/1966;45,02
01/06/1966;40,37
01/07/1966;31,25
01/08/1966;27,35
01/09/1966;27,01
01/10/1966;29,41
01/11/1966;39,49
01/12/1966;41,84
01/01/1967;74,31
01/02/1967;111,03
01/03/1967;131,17
01/04/1967;146,27
01/05/1967;72,86
01/06/1967;51,87
01/07/1967;44
01/08/1967;37,36
01/09/1967;35,13
01/10/1967;36,7
01/11/1967;38,65
01/12/1967;46,24
01/01/1968;65,73
01/02/1968;86,75
01/03/1968;100,41
01/04/1968;69,75
01/05/1968;69,97
01/06/1968;45,67
01/07/1968;39,6
01/08/1968;35,29
01/09/1968;33,49
01/10/1968;36,88
01/11/1968;45,92
01/12/1968;57,53
01/01/1969;46,7
01/02/1969;63,69
01/03/1969;98,23
01/04/1969;113,99
01/05/1969;109,87
01/06/1969;54,73
01/07/1969;39,62
01/08/1969;35,84
01/09/1969;34,39
01/10/1969;37,34
01/11/1969;42,02
01/12/1969;42,06
01/01/1970;41,9
01/02/1970;51,22
01/03/1970;73,18
01/04/1970;92,67
01/05/1970;64,85
01/06/1970;48,82
01/07/1970;40,31
01/08/1970;39,04
01/09/1970;36,33
01/10/1970;34,43
01/11/1970;34,93
01/12/1970;54,53
01/01/1971;70,53
01/02/1971;68,5
01/03/1971;79,4
01/04/1971;148,78
01/05/1971;99,51
01/06/1971;56,11
01/07/1971;45,23
01/08/1971;42,27
01/09/1971;35,2
01/10/1971;39,05
01/11/1971;41,77
01/12/1971;50,27
01/01/1972;68,37
01/02/1972;143,74
01/03/1972;253,77
01/04/1972;340,9
01/05/1972;356,1
01/06/1972;115,04
01/07/1972;78,43
01/08/1972;63,56
01/09/1972;58,2
01/10/1972;56,02
01/11/1972;59,83
01/12/1972;69,51
01/01/1973;77,58
01/02/1973;109,82
01/03/1973;168,99
01/04/1973;143,1
01/05/1973;141,86
01/06/1973;79,89
01/07/1973;65,66
01/08/1973;58,13
01/09/1973;51,86
01/10/1973;51,01
01/11/1973;54,65
01/12/1973;56,52
01/01/1974;62,89
01/02/1974;104,87
01/03/1974;115,42
01/04/1974;104,56
01/05/1974;72,28
01/06/1974;54,5
01/07/1974;45,89
01/08/1974;42,06
01/09/1974;40,61
