Mes;Vazao
1/1/1912;47715,16
1/2/1912;38258,96
1/3/1912;34754,20
1/4/1912;35867,67
1/5/1912;33924,84
1/6/1912;30661,67
1/7/1912;30933,23
1/8/1912;31314,84
1/9/1912;37578,33
1/10/1912;46681,93
1/11/1912;52486,00
1/12/1912;53257,42
1/1/1913;42282,58
1/2/1913;34108,21
1/3/1913;34170,32
1/4/1913;34157,00
1/5/1913;39652,26
1/6/1913;37927,67
1/7/1913;29690,64
1/8/1913;27725,81
1/9/1913;29035,67
1/10/1913;35119,68
1/11/1913;42223,00
1/12/1913;40930,32
1/1/1914;33325,80
1/2/1914;26914,64
1/3/1914;30320,64
1/4/1914;34754,33
1/5/1914;32307,10
1/6/1914;31775,67
1/7/1914;28945,48
1/8/1914;26283,55
1/9/1914;29978,33
1/10/1914;40461,93
1/11/1914;49340,00
1/12/1914;56804,52
1/1/1915;47451,93
1/2/1915;31103,93
1/3/1915;28726,45
1/4/1915;29228,67
1/5/1915;29467,10
1/6/1915;28444,00
1/7/1915;25220,97
1/8/1915;25359,68
1/9/1915;30415,00
1/10/1915;35725,48
1/11/1915;41010,67
1/12/1915;47168,71
1/1/1916;41834,52
1/2/1916;31493,10
1/3/1916;30366,77
1/4/1916;31977,00
1/5/1916;37565,16
1/6/1916;32244,33
1/7/1916;29098,39
1/8/1916;27761,29
1/9/1916;33811,00
1/10/1916;43337,74
1/11/1916;54954,67
1/12/1916;59679,03
1/1/1917;49122,90
1/2/1917;38390,00
1/3/1917;35006,45
1/4/1917;37148,67
1/5/1917;42473,87
1/6/1917;41215,33
1/7/1917;32986,13
1/8/1917;29266,77
1/9/1917;35993,00
1/10/1917;44717,10
1/11/1917;55476,67
1/12/1917;55920,97
1/1/1918;39129,03
1/2/1918;29276,43
1/3/1918;27894,52
1/4/1918;33167,00
1/5/1918;34084,52
1/6/1918;29790,33
1/7/1918;27443,23
1/8/1918;29548,06
1/9/1918;35469,33
1/10/1918;37515,80
1/11/1918;41498,33
1/12/1918;43843,55
1/1/1919;39498,71
1/2/1919;33624,29
1/3/1919;30382,26
1/4/1919;30893,33
1/5/1919;30239,36
1/6/1919;26375,67
1/7/1919;23737,10
1/8/1919;26812,90
1/9/1919;30546,33
1/10/1919;36223,87
1/11/1919;41509,33
1/12/1919;44630,97
1/1/1920;39061,61
1/2/1920;30783,10
1/3/1920;27225,16
1/4/1920;29735,00
1/5/1920;34665,48
1/6/1920;32089,67
1/7/1920;29373,23
1/8/1920;32753,23
1/9/1920;38463,67
1/10/1920;42526,13
1/11/1920;50107,33
1/12/1920;59541,93
1/1/1921;52781,93
1/2/1921;37572,50
1/3/1921;32739,36
1/4/1921;32898,00
1/5/1921;37459,68
1/6/1921;34178,67
1/7/1921;32649,36
1/8/1921;30589,68
1/9/1921;38201,00
1/10/1921;44722,58
1/11/1921;53433,67
1/12/1921;55849,03
1/1/1922;43246,45
1/2/1922;36258,93
1/3/1922;33302,58
1/4/1922;33264,00
1/5/1922;32764,19
1/6/1922;29719,67
1/7/1922;26752,58
1/8/1922;25828,06
1/9/1922;33392,33
1/10/1922;41968,07
1/11/1922;52995,00
1/12/1922;58136,13
1/1/1923;44365,48
1/2/1923;33990,71
1/3/1923;29536,13
1/4/1923;34369,67
1/5/1923;41651,93
1/6/1923;40546,00
1/7/1923;32364,52
1/8/1923;33696,13
1/9/1923;39388,33
1/10/1923;44008,39
1/11/1923;50438,33
1/12/1923;59872,58
1/1/1924;49764,52
1/2/1924;38821,38
1/3/1924;30876,45
1/4/1924;36311,67
1/5/1924;42360,97
1/6/1924;41449,67
1/7/1924;30615,81
1/8/1924;30610,32
1/9/1924;37447,00
1/10/1924;44914,20
1/11/1924;57965,67
1/12/1924;63373,87
1/1/1925;49946,13
1/2/1925;34770,36
1/3/1925;32715,48
1/4/1925;34612,33
1/5/1925;34576,13
1/6/1925;34159,00
1/7/1925;34017,74
1/8/1925;32175,48
1/9/1925;37049,33
1/10/1925;44900,64
1/11/1925;55204,67
1/12/1925;64170,64
1/1/1926;60478,71
1/2/1926;40873,57
1/3/1926;34900,00
1/4/1926;39775,67
1/5/1926;43092,26
1/6/1926;38087,00
1/7/1926;31764,84
1/8/1926;31817,10
1/9/1926;38150,33
1/10/1926;44482,90
1/11/1926;55734,00
1/12/1926;61658,39
1/1/1927;46496,77
1/2/1927;34438,93
1/3/1927;32250,00
1/4/1927;38016,67
1/5/1927;38374,20
1/6/1927;33663,67
1/7/1927;26994,52
1/8/1927;27650,00
1/9/1927;31857,00
1/10/1927;38484,20
1/11/1927;46719,33
1/12/1927;47349,03
1/1/1928;39916,45
1/2/1928;34684,14
1/3/1928;31426,13
1/4/1928;35803,00
1/5/1928;40482,26
1/6/1928;42292,00
1/7/1928;37827,42
1/8/1928;33532,26
1/9/1928;40736,67
1/10/1928;45275,48
1/11/1928;49455,67
