MES;VAZAO
jan-1934;93,2
fev-1934;41,3
mar-1934;45,4
abr-1934;30,6
mai-1934;20,5
jun-1934;16,2
jul-1934;17,4
ago-1934;12,2
set-1934;14,7
out-1934;14,5
nov-1934;22,4
dez-1934;63
jan-1935;67,3
fev-1935;109
mar-1935;49,7
abr-1935;40,2
mai-1935;28,5
jun-1935;21,2
jul-1935;18,5
ago-1935;16,7
set-1935;22,5
out-1935;34,7
nov-1935;29,7
dez-1935;38,2
jan-1936;30,9
fev-1936;45,8
mar-1936;66,1
abr-1936;44,9
mai-1936;28,4
jun-1936;21,1
jul-1936;16,4
ago-1936;14,7
set-1936;16,6
out-1936;16,1
nov-1936;19,7
dez-1936;41,7
jan-1937;69,4
fev-1937;64,3
mar-1937;34,6
abr-1937;33,6
mai-1937;36
jun-1937;22,2
jul-1937;16,9
ago-1937;13,5
set-1937;12,9
out-1937;24,3
nov-1937;41,2
dez-1937;151
jan-1938;80,2
fev-1938;70,6
mar-1938;54,3
abr-1938;49,3
mai-1938;36,2
jun-1938;36,3
jul-1938;24,4
ago-1938;31,1
set-1938;24,3
out-1938;30,3
nov-1938;36,7
dez-1938;77,9
jan-1939;74,7
fev-1939;62,1
mar-1939;42,2
abr-1939;39,7
mai-1939;29,3
jun-1939;21,1
jul-1939;18,5
ago-1939;15,9
set-1939;18,1
out-1939;15,1
nov-1939;25,1
dez-1939;58,4
jan-1940;89,5
fev-1940;80,6
mar-1940;57,3
abr-1940;39,1
mai-1940;29,3
jun-1940;21,7
jul-1940;16,9
ago-1940;15,9
set-1940;16,2
out-1940;26,8
nov-1940;49,2
dez-1940;63,9
jan-1941;58,3
fev-1941;33,7
mar-1941;56,2
abr-1941;40,8
mai-1941;27,3
jun-1941;23
jul-1941;20,6
ago-1941;14,8
set-1941;32,4
out-1941;26,1
nov-1941;35,7
dez-1941;68,1
jan-1942;63,8
fev-1942;41,8
mar-1942;57,2
abr-1942;42,3
mai-1942;33,8
jun-1942;22,7
jul-1942;32
ago-1942;20,9
set-1942;18,7
out-1942;31
nov-1942;40,5
dez-1942;63,4
jan-1943;191
fev-1943;82,9
mar-1943;59,9
abr-1943;40,2
mai-1943;28,9
jun-1943;27
jul-1943;20,8
ago-1943;23,9
set-1943;22,8
out-1943;44
nov-1943;41
dez-1943;69
jan-1944;57,4
fev-1944;101
mar-1944;70,2
abr-1944;45,5
mai-1944;34,7
jun-1944;25,9
jul-1944;24,5
ago-1944;18,9
set-1944;15,8
out-1944;20,5
nov-1944;27,8
dez-1944;44,5
jan-1945;83,5
fev-1945;94,5
mar-1945;73,8
abr-1945;60,9
mai-1945;38,5
jun-1945;33,3
jul-1945;27
ago-1945;20,8
set-1945;19,8
out-1945;19,7
nov-1945;35,9
dez-1945;73,8
jan-1946;105
fev-1946;49,6
mar-1946;58,6
abr-1946;43,9
mai-1946;32,2
jun-1946;24,9
jul-1946;19,7
ago-1946;15,4
set-1946;13,3
out-1946;31,6
nov-1946;52
dez-1946;53,3
jan-1947;75,5
fev-1947;115
mar-1947;161
abr-1947;67,8
mai-1947;45,9
jun-1947;33,7
jul-1947;30,7
ago-1947;28,7
set-1947;31
out-1947;39,2
